_id,lat,lng,main_damage,grouped_damage,confidence_level,geo_result,occupancy,address,parsed_address,address_dict,country,parish,town,suburb,street,place
"BLDG28114","15.30598684","-61.38403624","Negligible to slight damage","Damaged Buildings","nan","15.3063965,-61.3843726386139,hospital","hospital","Princess Margaret Hospital, Federation Drive, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Princess Margaret Hospital,Federation Drive,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Federation Drive","Princess Margaret Hospital"
"BLDG28115","15.30609684","-61.38353956","Negligible to slight damage","Damaged Buildings","nan","15.3063965,-61.3843726386139,hospital","hospital","Princess Margaret Hospital, Federation Drive, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Princess Margaret Hospital,Federation Drive,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Federation Drive","Princess Margaret Hospital"
"BLDG28116","15.30660192","-61.38477065","Negligible to slight damage","Damaged Buildings","nan","15.3063965,-61.3843726386139,hospital","hospital","Princess Margaret Hospital, Federation Drive, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Princess Margaret Hospital,Federation Drive,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Federation Drive","Princess Margaret Hospital"
"BLDG28117","15.30660598","-61.38202506","Completely Destroyed","Damaged Buildings","nan","15.306241,-61.3819604,residential","residential","Edens Lane, Yampiece, Roseau, Saint George Parish, 00109-800, Dominica","Edens Lane,Yampiece,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Yampiece","Edens Lane","None"
"BLDG28118","15.30426317","-61.38161652","Negligible to slight damage","Damaged Buildings","nan","15.3055164,-61.3814815,residential","residential","Downing Gap, Yampiece, Roseau, Saint George Parish, 00109-800, Dominica","Downing Gap,Yampiece,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Yampiece","Downing Gap","None"
"BLDG28119","15.30550498","-61.38717969","Highly Damaged","Damaged Buildings","nan","15.3064471,-61.3872116,residential","residential","Bowers Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Bowers Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Bowers Lane","None"
"BLDG28120","15.3052594","-61.38711382","Highly Damaged","Damaged Buildings","nan","15.3064471,-61.3872116,residential","residential","Bowers Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Bowers Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Bowers Lane","None"
"BLDG28121","15.30518149","-61.38708670000001","Highly Damaged","Damaged Buildings","nan","15.3064471,-61.3872116,residential","residential","Bowers Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Bowers Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Bowers Lane","None"
"BLDG28122","15.30551398","-61.38677002","Highly Damaged","Damaged Buildings","nan","15.3061929,-61.3868675,residential","residential","Benjamin Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Benjamin Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Benjamin Lane","None"
"BLDG28123","15.30543618","-61.3867583","Highly Damaged","Damaged Buildings","nan","15.3061929,-61.3868675,residential","residential","Benjamin Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Benjamin Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Benjamin Lane","None"
