lid,latitude,longitude,population_2015,population_2020,abs_increase,perc_increase
LOC00197,15.23430556,-61.35958333,7.53397121,7.568222297,0.034251087,1.00
LOC00198,15.23430556,-61.35930556,7.53397121,7.568222297,0.034251087,1.00
LOC00199,15.23430556,-61.35875,7.53397121,7.568222297,0.034251087,1.00
LOC00200,15.23430556,-61.35847222,7.53397121,7.568222297,0.034251087,1.00
LOC00201,15.23430556,-61.35819444,7.53397121,7.568222297,0.034251087,1.00
LOC00202,15.23430556,-61.35791667,7.53397121,7.568222297,0.034251087,1.00
LOC00203,15.23430556,-61.35763889,7.53397121,7.568222297,0.034251087,1.00
LOC00204,15.23430556,-61.35708333,7.53397121,7.568222297,0.034251087,1.00
LOC00205,15.23430556,-61.35597222,7.53397121,7.568222297,0.034251087,1.00
LOC00206,15.23430556,-61.35458333,7.53397121,7.568222297,0.034251087,1.00
LOC00207,15.23430556,-61.35263889,7.53397121,7.568222297,0.034251087,1.00
LOC00208,15.23430556,-61.33347222,3.813613053,3.689797482,-0.123815571,0.97
LOC00209,15.23430556,-61.33208333,3.813613053,3.689797482,-0.123815571,0.97
LOC00210,15.23458333,-61.36069444,7.53397121,7.568222297,0.034251087,1.00
LOC00211,15.23458333,-61.35930556,7.53397121,7.568222297,0.034251087,1.00
LOC00212,15.23458333,-61.35902778,7.53397121,7.568222297,0.034251087,1.00
LOC00213,15.23458333,-61.35875,7.53397121,7.568222297,0.034251087,1.00
LOC00214,15.23458333,-61.35847222,7.53397121,7.568222297,0.034251087,1.00
LOC00215,15.23458333,-61.35819444,7.53397121,7.568222297,0.034251087,1.00
LOC00216,15.23458333,-61.35708333,7.53397121,7.568222297,0.034251087,1.00
LOC00217,15.23458333,-61.35597222,7.53397121,7.568222297,0.034251087,1.00
LOC00218,15.23458333,-61.35569444,7.53397121,7.568222297,0.034251087,1.00
LOC00219,15.23458333,-61.35458333,7.53397121,7.568222297,0.034251087,1.00
LOC00220,15.23458333,-61.35236111,7.53397121,7.568222297,0.034251087,1.00
LOC00221,15.23458333,-61.33375,3.813613053,3.689797482,-0.123815571,0.97
LOC00222,15.23458333,-61.33347222,3.813613053,3.689797482,-0.123815571,0.97
LOC00223,15.23458333,-61.33319444,3.813613053,3.689797482,-0.123815571,0.97
LOC00224,15.23458333,-61.33291667,3.813613053,3.689797482,-0.123815571,0.97
LOC00225,15.23458333,-61.33263889,3.813613053,3.689797482,-0.123815571,0.97
LOC00226,15.23458333,-61.33180556,3.813613053,3.689797482,-0.123815571,0.97
LOC00227,15.23458333,-61.32347222,3.813613053,3.689797482,-0.123815571,0.97
LOC00228,15.23486111,-61.35847222,7.53397121,7.568222297,0.034251087,1.00
LOC00229,15.23486111,-61.35819444,7.53397121,7.568222297,0.034251087,1.00
LOC00230,15.23486111,-61.35736111,7.53397121,7.568222297,0.034251087,1.00
LOC00231,15.23486111,-61.35708333,7.53397121,7.568222297,0.034251087,1.00
LOC00232,15.23486111,-61.35680556,7.53397121,7.568222297,0.034251087,1.00
LOC00233,15.23486111,-61.35625,7.53397121,7.568222297,0.034251087,1.00
LOC00234,15.23486111,-61.35597222,7.53397121,7.568222297,0.034251087,1.00
LOC00235,15.23486111,-61.35513889,7.53397121,7.568222297,0.034251087,1.00
LOC00236,15.23486111,-61.33402778,3.813613053,3.689797482,-0.123815571,0.97
LOC00237,15.23486111,-61.33375,3.813613053,3.689797482,-0.123815571,0.97
LOC00238,15.23486111,-61.33347222,3.813613053,3.689797482,-0.123815571,0.97
LOC00239,15.23486111,-61.33291667,3.813613053,3.689797482,-0.123815571,0.97
LOC00240,15.23486111,-61.33236111,3.813613053,3.689797482,-0.123815571,0.97
LOC00241,15.23513889,-61.35847222,7.53397121,7.568222297,0.034251087,1.00
LOC00242,15.23513889,-61.35819444,7.53397121,7.568222297,0.034251087,1.00
LOC00243,15.23513889,-61.35791667,7.53397121,7.568222297,0.034251087,1.00
LOC00244,15.23513889,-61.35763889,7.53397121,7.568222297,0.034251087,1.00
LOC00245,15.23513889,-61.35736111,7.53397121,7.568222297,0.034251087,1.00
LOC00246,15.23513889,-61.35625,7.53397121,7.568222297,0.034251087,1.00
LOC00247,15.23513889,-61.35597222,7.53397121,7.568222297,0.034251087,1.00
LOC00248,15.23513889,-61.35486111,7.53397121,7.568222297,0.034251087,1.00
LOC00249,15.23513889,-61.34263889,7.53397121,7.568222297,0.034251087,1.00
