X,Y,Confidence,SensorDate,SensorID,FieldValid,Notes,Area_m2,StaffID,EventCode,Area_ha,Staff_ID,Agency
-61.2582909061971,15.2919802570291,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,5.14399300956,SB,TC20170918DMA,0.000514399,SB,UNOSAT
-61.2547346529893,15.2835302734953,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,130098.654947,SB,TC20170918DMA,13.0099,SB,UNOSAT
-61.2973510042121,15.2771453468242,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,14970363.3368,SB,TC20170918DMA,1497.04,SB,UNOSAT
-61.2595485189513,15.27076547582,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,137020.647379,SB,TC20170918DMA,13.7021,SB,UNOSAT
-61.2598197659523,15.2679586613111,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,28072.2696854,SB,TC20170918DMA,2.80723,SB,UNOSAT
-61.264906771542,15.2658418443003,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,500199.607092,SB,TC20170918DMA,50.02,SB,UNOSAT
-61.2557853473818,15.2661184387038,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,143442.338194,SB,TC20170918DMA,14.3442,SB,UNOSAT
-61.2630345122965,15.2583241768572,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,49736.49823,SB,TC20170918DMA,4.97365,SB,UNOSAT
-61.2634630793993,15.2537553779624,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,34653.0762597,SB,TC20170918DMA,3.46531,SB,UNOSAT
-61.2666659097427,15.2533833834079,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,14400.5477853,SB,TC20170918DMA,1.44005,SB,UNOSAT
-61.2652955597571,15.2497694186999,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,11217.9625916,SB,TC20170918DMA,1.1218,SB,UNOSAT
-61.2805397526999,15.2530932533284,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,172790.326379,SB,TC20170918DMA,17.279,SB,UNOSAT
-61.3463307136784,15.2767203520661,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,495816.618649,SB,TC20170918DMA,49.5817,SB,UNOSAT
-61.2860638851003,15.2598099781806,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,27023.186952,SB,TC20170918DMA,2.70232,SB,UNOSAT
-61.2866078619508,15.2905753496911,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,110554.839672,SB,TC20170918DMA,11.0555,SB,UNOSAT
-61.2850212533723,15.2858287048107,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,71528.3343254,SB,TC20170918DMA,7.15283,SB,UNOSAT
-61.2878124748545,15.2853998968767,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,27232.6074318,SB,TC20170918DMA,2.72326,SB,UNOSAT
-61.3415389489136,15.3766738982339,,2017/09/23,WorldView-2,,ZD020 - Void Collection Area,151414.547886,,EMSR246,15.1415,,Copernicus
-61.3303780028308,15.3743655083704,,2017/09/23,WorldView-2,,ZD020 - Void Collection Area,130258.079372,,EMSR246,13.0258,,Copernicus
-61.3756811393122,15.3660499596677,,2017/09/23,WorldView-2,,ZD020 - Void Collection Area,21577.2321844,,EMSR246,2.15772,,Copernicus
-61.3665281495738,15.3820352243203,,2017/09/23,WorldView-2,,ZD020 - Void Collection Area,15856.2482683,,EMSR246,1.58562,,Copernicus
-61.3756126158501,15.3657563264162,,2017/09/23,WorldView-2,,ZD020 - Void Collection Area,14364.1809973,,EMSR246,1.43642,,Copernicus
-61.4030452650527,15.3826153627396,,2017/09/23,WorldView-2,,ZD020 - Void Collection Area,361032.235494,,EMSR246,36.1032,,Copernicus
-61.4004152432203,15.3847560370777,,2017/09/23,WorldView-2,,ZD020 - Void Collection Area,15976.3995562,,EMSR246,1.59764,,Copernicus
-61.4047248445601,15.3734346266129,,2017/09/23,WorldView-2,,ZD020 - Void Collection Area,576976.641997,,EMSR246,57.6977,,Copernicus
-61.2690944762479,15.3375849228399,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,159840.122485,,EMSR246,15.984,,Copernicus
-61.2878292594999,15.3376955794856,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,289620.283625,,EMSR246,28.962,,Copernicus
-61.2617730474999,15.3410710239467,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,42568.5779319,,EMSR246,4.25686,,Copernicus
-61.2675257449514,15.3430162118834,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,45928.5244942,,EMSR246,4.59285,,Copernicus
-61.2884896456122,15.3436958741412,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,220908.880801,,EMSR246,22.0909,,Copernicus
-61.2779482171419,15.3527052790398,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,20306.6733834,,EMSR246,2.03067,,Copernicus
-61.2619198430065,15.3526136785001,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,230946.203599,,EMSR246,23.0946,,Copernicus
-61.2746176594999,15.3585770413933,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,7808.8375686,,EMSR246,0.780884,,Copernicus
-61.2687274869999,15.3625038223973,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,21194.0052279,,EMSR246,2.1194,,Copernicus
-61.2765810494999,15.3658621851108,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,6792.48839976,,EMSR246,0.679249,,Copernicus
-61.2878659584999,15.3627607750603,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,483548.073004,,EMSR246,48.3548,,Copernicus
-61.2934166959104,15.3728901690465,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,5464.1202015,,EMSR246,0.546412,,Copernicus
-61.2936828789465,15.3797523620535,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,13951.8533423,,EMSR246,1.39519,,Copernicus
-61.2850583470572,15.3800278964487,,2017/09/23,Pleiades,,ZD020 - Void Collection Area,8607.97318839,,EMSR246,0.860797,,Copernicus
-61.292462464171,15.2944639339539,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,15547.8942447,,EMSR246,1.55479,,Copernicus
-61.2915908953745,15.2951246608893,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,5498.12617197,,EMSR246,0.549813,,Copernicus
-61.2749295997485,15.2948865321017,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,100577.749304,,EMSR246,10.0578,,Copernicus
-61.257827770055,15.2958589919371,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,18439.6815025,,EMSR246,1.84397,,Copernicus
-61.2934808883742,15.3003546671069,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,11308.0858503,,EMSR246,1.13081,,Copernicus
-61.2873430288906,15.3007394439549,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,674023.28848,,EMSR246,67.4023,,Copernicus
-61.2587728392814,15.3097304653575,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,5601.96238049,,EMSR246,0.560196,,Copernicus
-61.2672962308425,15.311877885833,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,32074.6616573,,EMSR246,3.20747,,Copernicus
-61.2657915763427,15.3140064208194,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,12323.9987287,,EMSR246,1.2324,,Copernicus
-61.2612686569496,15.3152734115535,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,6153.98417265,,EMSR246,0.615398,,Copernicus
-61.2728928109855,15.3156395470145,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,6554.02803654,,EMSR246,0.655403,,Copernicus
-61.2941772526463,15.3161175472233,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,11203.2153259,,EMSR246,1.12032,,Copernicus
-61.2790031760095,15.3209975849904,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,15708.383879,,EMSR246,1.57084,,Copernicus
-61.2833886934999,15.3215484225583,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,6697.81697925,,EMSR246,0.669782,,Copernicus
-61.2835905369499,15.3231444704984,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,5881.55020122,,EMSR246,0.588155,,Copernicus
-61.2790765734296,15.3243006319495,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,180303.512825,,EMSR246,18.0304,,Copernicus
-61.2807555179222,15.3317874125487,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,238806.313726,,EMSR246,23.8806,,Copernicus
-61.2857647270823,15.3332908604467,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,117366.214132,,EMSR246,11.7366,,Copernicus
-61.3304456937405,15.2988544820286,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,12407.4049184,,EMSR246,1.24074,,Copernicus
-61.3274159658419,15.3001660479832,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,3448.84877775,,EMSR246,0.344885,,Copernicus
-61.3235957917935,15.3132792525673,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,25181.6353826,,EMSR246,2.51816,,Copernicus
-61.3207197470309,15.3162169089233,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,125803.589277,,EMSR246,12.5804,,Copernicus
-61.3400317669971,15.2937558398918,,2017/09/23,Pleiades,,Dominica AOI3 Cloud Obstruction,1593.08242932,,EMSR246,0.159308,,Copernicus
-61.3100950254744,15.3404895569951,,,,,Not Analyzed,19305294.5416,,EMSR246,1930.53,,Copernicus
-61.2622096085768,15.486234913747,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,46887.2514351,AM,TC20170918DMA,4.68872,AM,UNOSAT
-61.2612021833805,15.4756277710051,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,45202.6440049,AM,TC20170918DMA,4.52026,AM,UNOSAT
-61.2660786058483,15.4720987899252,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,8318.55414591,AM,TC20170918DMA,0.831855,AM,UNOSAT
-61.2682565620957,15.4706019432063,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,63087.0853488,AM,TC20170918DMA,6.30871,AM,UNOSAT
-61.2684250097378,15.4734967008296,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,56722.4790997,AM,TC20170918DMA,5.67225,AM,UNOSAT
-61.2658461734238,15.4655194513109,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,23341.0253249,AM,TC20170918DMA,2.3341,AM,UNOSAT
-61.2683786176948,15.4612161336965,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,75276.018047,AM,TC20170918DMA,7.5276,AM,UNOSAT
-61.2744467792973,15.4786164150868,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,1309856.91672,AM,TC20170918DMA,130.986,AM,UNOSAT
-61.2823153232678,15.4874492495441,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,22908.7111482,AM,TC20170918DMA,2.29087,AM,UNOSAT
-61.283621608189,15.484731049991,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,78062.5293374,AM,TC20170918DMA,7.80625,AM,UNOSAT
-61.2770351416261,15.469447664093,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,66257.6602138,AM,TC20170918DMA,6.62577,AM,UNOSAT
-61.2798761754947,15.4684499533591,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,21834.1215406,AM,TC20170918DMA,2.18341,AM,UNOSAT
-61.2762541755256,15.4661096840032,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,13108.1859547,AM,TC20170918DMA,1.31082,AM,UNOSAT
-61.277904221961,15.4660555632307,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,6255.43478915,AM,TC20170918DMA,0.625543,AM,UNOSAT
-61.2764528889807,15.4638308794234,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,17242.3131726,AM,TC20170918DMA,1.72423,AM,UNOSAT
-61.2849751394402,15.4604754620993,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,1237482.7972,AM,TC20170918DMA,123.748,AM,UNOSAT
-61.2817556285867,15.476848388697,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,7709.26052931,AM,TC20170918DMA,0.770926,AM,UNOSAT
-61.2863230452195,15.4748287535491,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,8508.39648051,AM,TC20170918DMA,0.85084,AM,UNOSAT
-61.2974633007518,15.4752258072928,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,3462262.98085,AM,TC20170918DMA,346.226,AM,UNOSAT
-61.3174298807419,15.4842822579672,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,8828.17027669,AM,TC20170918DMA,0.882817,AM,UNOSAT
-61.3555056723595,15.4911340884501,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,7564.70275661,AM,TC20170918DMA,0.75647,AM,UNOSAT
-61.3578354378121,15.4892145109397,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,35622.4041276,AM,TC20170918DMA,3.56224,AM,UNOSAT
-61.304427488399,15.4571209674098,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,50826.4459766,AM,TC20170918DMA,5.08264,AM,UNOSAT
-61.3138804485029,15.4701669127734,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,69184.0694084,AM,TC20170918DMA,6.91841,AM,UNOSAT
-61.3208688327117,15.4721301536268,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,67034.6788389,AM,TC20170918DMA,6.70347,AM,UNOSAT
-61.3184037955361,15.4651803758026,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,9940.41278485,AM,TC20170918DMA,0.994041,AM,UNOSAT
-61.319831774607,15.4646711607381,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,12828.9199958,AM,TC20170918DMA,1.28289,AM,UNOSAT
-61.2819537316087,15.5012292670431,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI2 Cloud Obstruction,270657.805048,AM,TC20170918DMA,27.0658,AM,UNOSAT
